description,price,rating,review_count,url
"Norelco Multigroom Series 9000 - 21 piece Men's Grooming Kit for beard, body, face, nose, ear hair trimmer w/ premium storage case, MG9510/60",69,4.6 out of 5 stars,"3,898",https://www.amazon.com/NEW-Philips-Norelco-Multigroom-9000/dp/B0BQN8QH8P/ref=sr_1_21?keywords=Philips&qid=1701064576&sr=8-21
"Philips Sonicare DiamondClean Smart 9300 Rechargeable Electric Power Toothbrush, Grey, HX9903/41",149,4.5 out of 5 stars,"9,849",https://www.amazon.com/Philips-Sonicare-Rechargeable-Toothbrush-HX9903/dp/B06XSH2SS8/ref=sr_1_22?keywords=Philips&qid=1701064576&sr=8-22
"NEW Philips Norelco Multigroom Series 5000 18 Piece, Beard Face, Hair, Body and Intimate Hair Trimmer for Men - NO BLADE OIL MG5910/49",29,4.5 out of 5 stars,"33,197",https://www.amazon.com/Philips-Norelco-Multigroom-Intimate-Trimmer/dp/B0BQN79PH9/ref=sr_1_23?keywords=Philips&qid=1701064576&sr=8-23
"Philips Norelco OneBlade Hybrid Electric Trimmer and Shaver, Frustration Free Packaging, QP2520/90",37,4.6 out of 5 stars,"89,282",https://www.amazon.com/Philips-Norelco-OneBlade-QP2520-90/dp/B01D328BG6/ref=sr_1_24?keywords=Philips&qid=1701064576&sr=8-24
"Philips Norelco Beard Trimmer for Men, 23 Piece Mens Grooming Kit, All-in-One Multigroom Trimmer and Shaver Series 7000, Hair Trimmer for Beard, Head, Body, and Face, Clippers for Men + NeeGo Case…",64,4.4 out of 5 stars,42,https://www.amazon.com/Philips-Norelco-Grooming-Multigroom-Clippers/dp/B0C59MH2GL/ref=sr_1_25?keywords=Philips&qid=1701064576&sr=8-25
"Philips Sonicare Optimal Whitening White BrushSync Heads (Compatible with All Philips Sonicare Handles), Pack of 8",39,4.7 out of 5 stars,"14,471",https://www.amazon.com/Philips-Genuine-Sonicare-Optimal-Replacement/dp/B07B38Z3S7/ref=sr_1_26?keywords=Philips&qid=1701064576&sr=8-26
"Philips Sonicare Power Flosser 7000, HX3911/30",83,4.4 out of 5 stars,814,https://www.amazon.com/Philips-Sonicare-Flosser-HX3911-30/dp/B08LJNZW4J/ref=sr_1_27?keywords=Philips&qid=1701064576&sr=8-27
"Philips Hue Smart Slim 6 Inch LED Downlight - White and Color Ambiance Color-Changing Light - 6 Pack - 1200LM - Indoor - Control with Hue App - Works with Alexa, Google Assistant and Apple Homekit",389,4.6 out of 5 stars,"1,685",https://www.amazon.com/Philips-Hue-Downlight-Bluetooth-Compatible/dp/B0BBWN8BFF/ref=sr_1_28?keywords=Philips&qid=1701064576&sr=8-28
"Philips Norelco Series 9000, Ultimate Precision Beard and Hair Trimmer with Beard Sense Technology for an Even Trim, BT9810/40",79,4.5 out of 5 stars,"1,646",https://www.amazon.com/Philips-Norelco-Ultimate-Precision-Cordless/dp/B08TBDYF8H/ref=sr_1_29?keywords=Philips&qid=1701064576&sr=8-29
"Philips Norelco Bodygroom Series 5000 Showerproof Body & Manscaping Trimmer for Men with Back Attachment, BG5025/40",39,4.4 out of 5 stars,"11,664",https://www.amazon.com/Philips-Norelco-Bodygroom-Showerproof-Attachment/dp/B09MZXFJ8N/ref=sr_1_30?keywords=Philips&qid=1701064576&sr=8-30
"Philips Sonicare Genuine W DiamondClean Toothbrush Heads, 4 Brush Heads, Black, HX6064/95",32,4.8 out of 5 stars,"36,239",https://www.amazon.com/Philips-Sonicare-DiamondClean-replacement-HX6064/dp/B078BF27BB/ref=sr_1_31?keywords=Philips&qid=1701064576&sr=8-31
"PHILIPS 3200 Series Fully Automatic Espresso Machine - LatteGo Milk Frother, 5 Coffee Varieties, Intuitive Touch Display, Black, (EP3241/54)",549,4.2 out of 5 stars,"4,342",https://www.amazon.com/Philips-Automatic-Espresso-Machine-LatteGo/dp/B07VFY4MXM/ref=sr_1_32?keywords=Philips&qid=1701064576&sr=8-32
"Philips Sonicare Genuine G3 Premium Gum Care Replacement Toothbrush Heads, 4 Brush Heads, White, HX9054/65",32,4.8 out of 5 stars,"8,834",https://www.amazon.com/Genuine-Philips-Sonicare-Replacement-Toothbrush/dp/B071L9QVFQ/ref=sr_1_33?keywords=Philips&qid=1701064576&sr=8-33
