description,price,rating,review_count,offer,url
JBL Charge 5 Portable Waterproof Wireless Bluetooth Speaker Bundle with Boomph Portable Hard Carrying Protective Case - Red,143,4.7 out of 5 stars,259,,https://www.amazon.com/Bluetooth-Waterproof-Rechargeable-Playtime-Hardshell/dp/B09SNTHR2M/ref=sr_1_83?keywords=JBL+Bluetooth&qid=1701012147&sr=8-83
"JLab Go Air Sport, Wireless Workout Earbuds Featuring C3 Clear Calling, Secure Earhook Sport Design, 32+ Hour Bluetooth Playtime, and 3 EQ Sound Settings (Graphite/Black)",19,4.1 out of 5 stars,"10,603",,https://www.amazon.com/JLab-Air-Sport-Featuring-Bluetooth/dp/B09RGB47FJ/ref=sr_1_84?keywords=JBL+Bluetooth&qid=1701012147&sr=8-84
"Boean Bluetooth Headphones, Wireless Earbuds with 16 Hours Playtime Bluetooth 5.3 Wireless Headphones HD Deep Bass Stereo Sound Isolation IPX7 Waterproof Earphones for Workout Running Sports",15,4.3 out of 5 stars,"6,828",,https://www.amazon.com/Bluetooth-Headphones-Waterproof-Earphones-Cancelling/dp/B09KGLRF8J/ref=sr_1_85?keywords=JBL+Bluetooth&qid=1701012147&sr=8-85
"JBL Flip 6 - Waterproof Portable Bluetooth Speaker, Powerful Sound and deep bass, IPX7 Waterproof, 12 Hours of Playtime with Megen Hardshell Case - Camo",119,4.3 out of 5 stars,31,,https://www.amazon.com/JBL-Flip-Waterproof-Bluetooth-Hardshell/dp/B0BK271V69/ref=sr_1_86?keywords=JBL+Bluetooth&qid=1701012147&sr=8-86
JBL GO 3 Waterproof Ultra Portable Bluetooth Speaker Bundle with Megen Hardshell Case (Red),39,4.7 out of 5 stars,27,,https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Hardshell/dp/B09ZWJRCDW/ref=sr_1_87?keywords=JBL+Bluetooth&qid=1701012147&sr=8-87
JBL GO 3 Waterproof Ultra Portable Bluetooth Speaker Bundle with Megen Hardshell Case (Gray),44,4.8 out of 5 stars,76,,https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Hardshell/dp/B09ZWHBQ8J/ref=sr_1_88?keywords=JBL+Bluetooth&qid=1701012147&sr=8-88
"JBL Flip 6 - Waterproof Portable Bluetooth Speaker, Powerful Sound and deep bass, IPX7 Waterproof, 12 Hours of Playtime with Megen Hardshell Case - Gray",119,4.7 out of 5 stars,64,,https://www.amazon.com/JBL-Flip-Waterproof-Bluetooth-Hardshell/dp/B0B2HV127S/ref=sr_1_90?keywords=JBL+Bluetooth&qid=1701012147&sr=8-90
"JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black & Go 3: Portable Speaker with Bluetooth, Builtin Battery, Waterproof and Dustproof Feature Teal JBLGO3TEALAM",54,4.6 out of 5 stars,"43,831",,https://www.amazon.com/JBL-Tune-510BT-Ear-JBLGO3TEALAM/dp/B0C98412YS/ref=sr_1_91?keywords=JBL+Bluetooth&qid=1701012147&sr=8-91
JBL GO 3 Waterproof Ultra Portable Bluetooth Speaker Bundle with Megen Hardshell Case (Teal),48,4.9 out of 5 stars,30,,https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Hardshell/dp/B09ZWF9K4W/ref=sr_1_92?keywords=JBL+Bluetooth&qid=1701012147&sr=8-92
"Boomph Sound Pack: JBL Clip 4 Portable Bluetooth Wireless Speaker with IP67 Waterproof, Dustproof, Carabiner Clip, Built-in Battery | 10 Hour Play Time of Rich Audio and Punchy Bass | Eco Green",79,4.3 out of 5 stars,22,,https://www.amazon.com/Boomph-Sound-Pack-Waterproof-Built/dp/B0BZX5NTWQ/ref=sr_1_93?keywords=JBL+Bluetooth&qid=1701012147&sr=8-93
"COMISO Bluetooth Speakers with HD Sound, Portable Speaker with Punchy Bass, IPX4 Waterproof Speaker with Dual Pairing, 24H Playtime, Wireless Speaker for Shower, Travel, Home,Outdoors, Gift for Unisex",24,4.5 out of 5 stars,"23,719",,https://www.amazon.com/COMISO-Waterproof-Bluetooth-Speakers-Wireless/dp/B0744JGZ1T/ref=sr_1_94?keywords=JBL+Bluetooth&qid=1701012147&sr=8-94
"Baseus Wireless Earbuds, 140H Playback -48dB Active Noise Cancelling Bluetooth 5.3 Earbuds with IPX6 Waterproof 4 ENC Mics 0.038s Low Latency Fast Charge Ear Buds for Android iOS - Bowie MA10",22,4.4 out of 5 stars,"2,273",,https://www.amazon.com/Baseus-Wireless-Cancelling-Bluetooth-Waterproof/dp/B0C89QQ5XK/ref=sr_1_95?keywords=JBL+Bluetooth&qid=1701012147&sr=8-95
JBL Clip 4 - Portable Mini Bluetooth Speaker - (Squad) and InfinityLab InstantStation Wireless Stand 33W PD USB-C and USB-A Compact Fast Charging Wireless Charger (White),44,,,,https://www.amazon.com/JBL-Clip-InfinityLab-InstantStation-USB/dp/B0C5NVC94V/ref=sr_1_96?keywords=JBL+Bluetooth&qid=1701012147&sr=8-96
"Boomph Sound Pack: JBL Clip 4 Portable Bluetooth Wireless Speaker with IP67 Waterproof, Dustproof, Carabiner Clip, Built-in Battery | 10 Hour Play Time of Rich Audio and Punchy Bass | Eco Green",79,4.3 out of 5 stars,22,,https://www.amazon.com/Boomph-Sound-Pack-Waterproof-Built/dp/B0BZX5NTWQ/ref=sr_1_97?keywords=JBL+Bluetooth&qid=1701012153&sr=8-97
"COMISO Bluetooth Speakers with HD Sound, Portable Speaker with Punchy Bass, IPX4 Waterproof Speaker with Dual Pairing, 24H Playtime, Wireless Speaker for Shower, Travel, Home,Outdoors, Gift for Unisex",24,4.5 out of 5 stars,"23,719",,https://www.amazon.com/COMISO-Waterproof-Bluetooth-Speakers-Wireless/dp/B0744JGZ1T/ref=sr_1_98?keywords=JBL+Bluetooth&qid=1701012153&sr=8-98
JBL Clip 4 - Portable Mini Bluetooth Speaker - (Squad) and InfinityLab InstantStation Wireless Stand 33W PD USB-C and USB-A Compact Fast Charging Wireless Charger (White),44,,,,https://www.amazon.com/JBL-Clip-InfinityLab-InstantStation-USB/dp/B0C5NVC94V/ref=sr_1_99?keywords=JBL+Bluetooth&qid=1701012153&sr=8-99
"Baseus Wireless Earbuds, 140H Playback -48dB Active Noise Cancelling Bluetooth 5.3 Earbuds with IPX6 Waterproof 4 ENC Mics 0.038s Low Latency Fast Charge Ear Buds for Android iOS - Bowie MA10",22,4.4 out of 5 stars,"2,273",,https://www.amazon.com/Baseus-Wireless-Cancelling-Bluetooth-Waterproof/dp/B0C89QQ5XK/ref=sr_1_100?keywords=JBL+Bluetooth&qid=1701012153&sr=8-100
"JBL Flip 6 - Waterproof Portable Bluetooth Speaker, Powerful Sound and deep bass, IPX7 Waterproof, 12 Hours of Playtime with Megen Hardshell Case - White",123,4.5 out of 5 stars,60,,https://www.amazon.com/JBL-Flip-Waterproof-Bluetooth-Hardshell/dp/B0B2J1WB5C/ref=sr_1_101?keywords=JBL+Bluetooth&qid=1701012153&sr=8-101
"ZICOROOP Bluetooth Speakers,50W Portable Bluetooth Speaker with IPX7 Wireless Waterproof, Stereo Sound, Long-Lasting Battery,Handle,Crystal Clear,Rich Bass,8000mAh",47,4.7 out of 5 stars,153,,https://www.amazon.com/ZICOROOP-Bluetooth-Speakers-Waterproof-Long-Lasting/dp/B0C4KYXYBC/ref=sr_1_102?keywords=JBL+Bluetooth&qid=1701012153&sr=8-102
"JBL Boombox 2 - Bluetooth Speaker, Powerful Bass, IPX7 Waterproof, 24 Hours Playtime, Powerbank, PartyBoost for Pairing, Home and Outdoor, A Megen Bag (Black)",339,4.4 out of 5 stars,14,,https://www.amazon.com/JBL-Boombox-Bluetooth-Waterproof-PartyBoost/dp/B0C5L1XSW7/ref=sr_1_103?keywords=JBL+Bluetooth&qid=1701012153&sr=8-103
"ZEALOT Bluetooth Speaker, Portable Bluetooth Speakers with Subwoofer,75W Speakers Bluetooth Wireless Loud with IPX6 Waterproof,20H Play,Deep Bass,Stereo,EQ,Speaker for Party,Beach,Camping,Black",63,4.5 out of 5 stars,"2,825",,https://www.amazon.com/Bluetooth-ZEALOT-Technology-Waterproof-Speaker%EF%BC%88Update%EF%BC%89/dp/B09XMHL23Y/ref=sr_1_104?keywords=JBL+Bluetooth&qid=1701012153&sr=8-104
